"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","5","接口测试","76","0","saasSystem接口测试","0"
"0","","0","接口测试","3","0","saasApplication接口测试","0"
