"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","904","换电记录-换电成功率统计","test_cases","Thu Mar 06 16:01:47 CST 2025","passed","Thu Mar 06 16:01:48 CST 2025","TestCaseExe","test_all_case","",""
"","853","换电记录-导出列表","test_cases","Thu Mar 06 16:01:48 CST 2025","passed","Thu Mar 06 16:01:49 CST 2025","TestCaseExe","test_all_case","",""
"","923","用户详情","test_cases","Thu Mar 06 16:01:05 CST 2025","passed","Thu Mar 06 16:01:06 CST 2025","TestCaseExe","test_all_case","",""
"","1494","用户列表-翻2页","test_cases","Thu Mar 06 16:01:03 CST 2025","passed","Thu Mar 06 16:01:05 CST 2025","TestCaseExe","test_all_case","",""
"","1041","用户列表-加入分组","test_cases","Thu Mar 06 16:00:59 CST 2025","failed","Thu Mar 06 16:01:00 CST 2025","TestCaseExe","test_all_case","",""
"","1583","运营大屏-电池统计
(所有)","test_cases","Thu Mar 06 15:59:56 CST 2025","passed","Thu Mar 06 15:59:58 CST 2025","TestCaseExe","test_all_case","",""
"","989","实时大屏-设备告警","test_cases","Thu Mar 06 15:58:27 CST 2025","passed","Thu Mar 06 15:58:28 CST 2025","TestCaseExe","test_all_case","",""
"","1139","代理商列表-下拉使用","test_cases","Thu Mar 06 15:59:58 CST 2025","passed","Thu Mar 06 15:59:59 CST 2025","TestCaseExe","test_all_case","",""
"","616","运营大屏-换电统计
(所有)","test_cases","Thu Mar 06 15:58:38 CST 2025","passed","Thu Mar 06 15:58:39 CST 2025","TestCaseExe","test_all_case","",""
"","813","用户分组-将用户list加入分组","test_cases","Thu Mar 06 16:01:36 CST 2025","failed","Thu Mar 06 16:01:37 CST 2025","TestCaseExe","test_all_case","",""
"","682","获取逾期设备计数","test_cases","Thu Mar 06 15:57:53 CST 2025","passed","Thu Mar 06 15:57:53 CST 2025","TestCaseExe","test_all_case","",""
"","4829","获取支付宝投诉计数","test_cases","Thu Mar 06 15:57:54 CST 2025","passed","Thu Mar 06 15:57:58 CST 2025","TestCaseExe","test_all_case","",""
"","923","换电记录-列表","test_cases","Thu Mar 06 16:01:46 CST 2025","passed","Thu Mar 06 16:01:47 CST 2025","TestCaseExe","test_all_case","",""
"","837","实时大屏-订单统计","test_cases","Thu Mar 06 15:58:14 CST 2025","passed","Thu Mar 06 15:58:15 CST 2025","TestCaseExe","test_all_case","",""
"","798","获取品牌信息","test_cases","Thu Mar 06 15:58:01 CST 2025","passed","Thu Mar 06 15:58:02 CST 2025","TestCaseExe","test_all_case","",""
"","1079","用户详情-解除邀请用户","test_cases","Thu Mar 06 16:01:24 CST 2025","passed","Thu Mar 06 16:01:26 CST 2025","TestCaseExe","test_all_case","",""
"","7353","实时大屏-资产统计","test_cases","Thu Mar 06 15:58:18 CST 2025","passed","Thu Mar 06 15:58:26 CST 2025","TestCaseExe","test_all_case","",""
"","1343","用户分组列表页","test_cases","Thu Mar 06 16:01:30 CST 2025","passed","Thu Mar 06 16:01:32 CST 2025","TestCaseExe","test_all_case","",""
"","2169","用户列表","test_cases","Thu Mar 06 16:00:15 CST 2025","passed","Thu Mar 06 16:00:17 CST 2025","TestCaseExe","test_all_case","",""
